2021-08-03 00:11:02,644 [INFO] | basic information
2021-08-03 00:11:02,644 [WARNING] | warning
2021-08-03 00:11:02,644 [ERROR] | error
2021-08-03 00:12:48,307 [INFO] | basic information
2021-08-03 00:12:48,307 [WARNING] | warning
2021-08-03 00:12:48,307 [ERROR] | error
2021-08-03 00:12:48,307 [INFO] | from binance connector
2021-08-03 01:10:36,337 [INFO] | websocket opened
2021-08-03 01:10:47,207 [ERROR] | error from callback <bound method BinanceFuturesClient.on_close of <binanace_future.BinanceFuturesClient object at 0x100cbca90>>: on_close() takes 2 positional arguments but 4 were given
2021-08-03 01:10:47,207 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:11:10,921 [INFO] | websocket opened
2021-08-03 01:11:15,445 [ERROR] | error from callback <bound method BinanceFuturesClient.on_close of <binanace_future.BinanceFuturesClient object at 0x105684f10>>: on_close() takes 2 positional arguments but 4 were given
2021-08-03 01:11:15,445 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:11:50,615 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:11:50,844 [INFO] | websocket opened
2021-08-03 01:12:00,963 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:12:01,187 [INFO] | websocket opened
2021-08-03 01:20:46,724 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:20:46,963 [INFO] | websocket opened
2021-08-03 01:27:27,180 [INFO] | Binance Futures Client successfully initialized
2021-08-03 01:27:27,421 [INFO] | websocket opened
2021-08-03 09:56:07,741 [INFO] | Binance Futures Client successfully initialized
2021-08-03 09:56:08,070 [INFO] | websocket opened
2021-08-03 12:17:12,250 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:17:12,252 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:17:12,823 [INFO] | websocket opened
2021-08-03 12:25:54,549 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:25:54,550 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:25:54,822 [INFO] | websocket opened
2021-08-03 12:29:09,383 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:29:09,384 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:29:09,676 [INFO] | websocket opened
2021-08-03 12:29:42,232 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:29:42,232 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:29:42,477 [INFO] | websocket opened
2021-08-03 12:29:58,429 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:29:58,429 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:29:58,685 [INFO] | websocket opened
2021-08-03 12:34:48,150 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:34:48,155 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:34:48,482 [INFO] | websocket opened
2021-08-03 12:36:23,928 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:36:23,929 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:36:24,185 [INFO] | websocket opened
2021-08-03 12:37:50,224 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:37:50,225 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:37:50,474 [INFO] | websocket opened
2021-08-03 12:38:20,564 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:38:20,565 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:38:20,825 [INFO] | websocket opened
2021-08-03 12:39:57,802 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:39:57,802 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:39:58,040 [INFO] | websocket opened
2021-08-03 12:42:29,919 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:42:29,919 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:42:30,096 [INFO] | websocket opened
2021-08-03 12:52:12,820 [ERROR] | error from callback <bound method BinanceFuturesClient._on_message of <connectors.binanace_future.BinanceFuturesClient object at 0x104d64af0>>: main thread is not in main loop
2021-08-03 12:52:13,849 [ERROR] | error from callback <bound method BinanceFuturesClient._on_message of <connectors.binanace_future.BinanceFuturesClient object at 0x104d64af0>>: main thread is not in main loop
2021-08-03 12:52:14,885 [ERROR] | error from callback <bound method BinanceFuturesClient._on_message of <connectors.binanace_future.BinanceFuturesClient object at 0x104d64af0>>: main thread is not in main loop
2021-08-03 12:52:15,911 [ERROR] | error from callback <bound method BinanceFuturesClient._on_message of <connectors.binanace_future.BinanceFuturesClient object at 0x104d64af0>>: main thread is not in main loop
2021-08-03 12:52:44,586 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:52:44,588 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:52:44,864 [INFO] | websocket opened
2021-08-03 12:52:45,775 [INFO] | 0.9999380338423374
2021-08-03 12:52:45,790 [INFO] | 0.9996866677111077
2021-08-03 12:52:45,794 [INFO] | 0.9994281720566747
2021-08-03 12:52:45,802 [INFO] | 0.999529854254819
2021-08-03 12:52:45,810 [INFO] | 0.9996187086934418
2021-08-03 12:52:45,892 [INFO] | 0.9997836434443964
2021-08-03 12:52:45,908 [INFO] | 0.999927870744374
2021-08-03 12:52:46,053 [INFO] | 0.9990601905250117
2021-08-03 12:52:46,064 [INFO] | 0.9993163269666282
2021-08-03 12:52:46,141 [INFO] | 0.9999600647565333
2021-08-03 12:52:46,149 [INFO] | 0.9999600647565333
2021-08-03 12:52:46,162 [INFO] | 0.9994400040726976
2021-08-03 12:52:46,166 [INFO] | 0.9999416331057024
2021-08-03 12:52:46,172 [INFO] | 0.9993890953520338
2021-08-03 12:52:46,178 [INFO] | 0.99977267630642
2021-08-03 12:52:46,180 [INFO] | 0.99933818663137
2021-08-03 12:52:46,186 [INFO] | 0.9997511727137842
2021-08-03 12:52:46,187 [INFO] | 0.999287277910706
2021-08-03 12:52:46,199 [INFO] | 0.999748100771979
2021-08-03 12:52:46,592 [INFO] | 0.9999438128593636
2021-08-03 12:52:46,645 [INFO] | 0.9999812702515405
2021-08-03 12:52:46,697 [INFO] | 0.9993680028891296
2021-08-03 12:52:46,710 [INFO] | 0.9991875789853764
2021-08-03 12:52:47,816 [INFO] | 0.9999730356468748
2021-08-03 12:52:47,869 [INFO] | 0.9992166692777692
2021-08-03 12:52:47,897 [INFO] | 0.9995551601423486
2021-08-03 12:52:47,907 [INFO] | 0.9993646356185273
2021-08-03 12:52:47,987 [INFO] | 0.9998557102662144
2021-08-03 12:52:48,017 [INFO] | 0.9997835653993218
2021-08-03 12:52:48,145 [INFO] | 0.9994017349685912
2021-08-03 12:52:48,158 [INFO] | 0.9994017349685912
2021-08-03 12:52:48,166 [INFO] | 0.9993162685355327
2021-08-03 12:52:48,174 [INFO] | 0.9992735353190035
2021-08-03 12:52:48,184 [INFO] | 0.9990171360198282
2021-08-03 12:52:48,218 [INFO] | 0.9994654584330295
2021-08-03 12:52:48,242 [INFO] | 0.9998187554334972
2021-08-03 12:52:48,252 [INFO] | 0.9999969275107614
2021-08-03 12:52:48,295 [INFO] | 0.9994908998345423
2021-08-03 12:52:48,333 [INFO] | 0.9994654584330295
2021-08-03 12:52:48,781 [INFO] | 0.999277782793175
2021-08-03 12:52:48,801 [INFO] | 0.9999063512577027
2021-08-03 12:52:48,811 [INFO] | 0.9998314322638648
2021-08-03 12:52:48,819 [INFO] | 0.9997939804843333
2021-08-03 12:52:48,844 [INFO] | 0.9997190853418731
2021-08-03 12:52:49,723 [INFO] | 0.9994017349685912
2021-08-03 12:52:49,732 [INFO] | 0.9995725947771082
2021-08-03 12:52:49,793 [INFO] | 0.9999969275107614
2021-08-03 12:52:49,814 [INFO] | 0.9999969275107614
2021-08-03 12:52:49,850 [INFO] | 0.9999955923653544
2021-08-03 12:52:49,863 [INFO] | 0.9999997407262982
2021-08-03 12:52:49,900 [INFO] | 0.9998433338555539
2021-08-03 12:52:49,911 [INFO] | 0.9992171598559575
2021-08-03 12:52:49,927 [INFO] | 0.9994908998345423
2021-08-03 12:52:49,951 [INFO] | 0.9994281720566747
2021-08-03 12:52:49,960 [INFO] | 0.9994399898179966
2021-08-03 12:52:49,970 [INFO] | 0.9996187086934418
2021-08-03 12:52:50,049 [INFO] | 0.9997835653993218
2021-08-03 12:52:50,087 [INFO] | 0.9996393277068457
2021-08-03 12:52:50,381 [INFO] | 0.9997378129857483
2021-08-03 12:52:50,813 [INFO] | 0.9994583370948813
2021-08-03 12:52:50,864 [INFO] | 0.999277782793175
2021-08-03 12:52:50,871 [INFO] | 0.9991875789853764
2021-08-03 12:52:51,798 [INFO] | 0.9991879300765055
2021-08-03 12:52:51,809 [INFO] | 0.9990171360198282
2021-08-03 12:52:51,850 [INFO] | 0.999978496407364
2021-08-03 12:52:51,904 [INFO] | 0.9999955923653544
2021-08-03 12:52:51,936 [INFO] | 0.9999955923653544
2021-08-03 12:52:51,945 [INFO] | 0.9993732372297086
2021-08-03 12:52:51,971 [INFO] | 0.9998965604670177
2021-08-03 12:52:51,984 [INFO] | 0.9994908998345423
2021-08-03 12:52:52,052 [INFO] | 0.9995551601423486
2021-08-03 12:52:52,069 [INFO] | 0.9993646356185273
2021-08-03 12:52:52,091 [INFO] | 0.9994654584330295
2021-08-03 12:52:52,117 [INFO] | 0.9999278655413691
2021-08-03 12:52:52,143 [INFO] | 0.999855741488748
2021-08-03 12:52:52,428 [INFO] | 0.9998127235612487
2021-08-03 12:52:52,431 [INFO] | 0.999277782793175
2021-08-03 12:52:52,438 [INFO] | 0.9998501732371944
2021-08-03 12:52:52,441 [INFO] | 0.999277782793175
2021-08-03 12:52:53,691 [INFO] | 0.9995672244662437
2021-08-03 12:52:53,703 [INFO] | 0.9994230491850571
2021-08-03 12:52:53,831 [INFO] | 0.9992735353190035
2021-08-03 12:52:53,841 [INFO] | 0.9993162393162394
2021-08-03 12:52:53,852 [INFO] | 0.9993162393162394
2021-08-03 12:52:53,927 [INFO] | 0.9999969279260736
2021-08-03 12:52:54,004 [INFO] | 0.9993732372297086
2021-08-03 12:52:54,015 [INFO] | 0.9993732372297086
2021-08-03 12:52:54,023 [INFO] | 0.9993732372297086
2021-08-03 12:52:54,100 [INFO] | 0.9994281720566747
2021-08-03 12:52:54,113 [INFO] | 0.9995551884094809
2021-08-03 12:52:54,131 [INFO] | 0.999669093315685
2021-08-03 12:52:54,289 [INFO] | 0.9996182040317655
2021-08-03 12:52:54,298 [INFO] | 0.9995673199287352
2021-08-03 12:52:54,311 [INFO] | 0.9995164410058027
2021-08-03 12:52:54,324 [INFO] | 0.9994655672621775
2021-08-03 12:52:54,334 [INFO] | 0.9994401323323578
2021-08-03 12:52:54,340 [INFO] | 0.9993892663562104
2021-08-03 12:52:54,351 [INFO] | 0.9993384055573934
2021-08-03 12:52:54,359 [INFO] | 0.9993129770992367
2021-08-03 12:52:54,480 [INFO] | 0.9999097228491469
2021-08-03 12:52:54,547 [INFO] | 0.9999625362929663
2021-08-03 12:52:54,568 [INFO] | 0.999277782793175
2021-08-03 12:52:54,590 [INFO] | 0.9991875789853764
2021-08-03 12:52:54,591 [INFO] | 0.9999438044394493
2021-08-03 12:52:54,602 [INFO] | 0.9998688770253815
2021-08-03 12:52:54,612 [INFO] | 0.999793949611314
2021-08-03 12:52:54,625 [INFO] | 0.9990072202166065
2021-08-03 12:52:54,625 [INFO] | 0.9997377540507634
2021-08-03 12:52:54,634 [INFO] | 0.9988269265475547
2021-08-03 12:52:54,639 [INFO] | 0.9996628266366956
2021-08-03 12:52:55,729 [INFO] | 0.9997115245925285
2021-08-03 12:52:55,743 [INFO] | 0.999855741488748
2021-08-03 12:52:55,890 [INFO] | 0.99941475826972
2021-08-03 12:52:55,926 [INFO] | 0.9993162393162394
2021-08-03 12:52:55,934 [INFO] | 0.999059829059829
2021-08-03 12:52:55,945 [INFO] | 0.9990171360198282
2021-08-03 12:52:55,950 [INFO] | 0.9994401893177943
2021-08-03 12:52:56,000 [INFO] | 0.9997910989730058
2021-08-03 12:52:56,011 [INFO] | 0.9998187426268187
2021-08-03 12:52:56,028 [INFO] | 0.9994401893177943
2021-08-03 12:52:56,040 [INFO] | 0.9998095261502162
2021-08-03 12:52:56,049 [INFO] | 0.9993732372297086
2021-08-03 12:52:56,055 [INFO] | 0.9997972375147463
2021-08-03 12:52:56,060 [INFO] | 0.9993732372297086
2021-08-03 12:52:56,066 [INFO] | 0.9993732372297086
2021-08-03 12:52:56,161 [INFO] | 0.5421193573068095
2021-08-03 12:52:56,199 [INFO] | 0.9994916438965494
2021-08-03 12:52:56,213 [INFO] | 0.9993646356185273
2021-08-03 12:52:56,662 [INFO] | 0.9994585814834869
2021-08-03 12:52:56,694 [INFO] | 0.9997190221972465
2021-08-03 12:52:56,704 [INFO] | 0.9996389891696752
2021-08-03 12:52:56,714 [INFO] | 0.9996389891696752
2021-08-03 12:52:56,721 [INFO] | 0.9996441214482386
2021-08-03 12:52:57,738 [INFO] | 0.9994281720566747
2021-08-03 12:52:57,754 [INFO] | 0.9996187086934418
2021-08-03 12:52:57,808 [INFO] | 0.999855741488748
2021-08-03 12:52:57,817 [INFO] | 0.9995672244662437
2021-08-03 12:52:57,826 [INFO] | 0.9994230491850571
2021-08-03 12:52:57,996 [INFO] | 0.9989317608853566
2021-08-03 12:52:58,091 [INFO] | 0.9993732372297086
2021-08-03 12:52:58,101 [INFO] | 0.9993732372297086
